Name of City,Total number of Fatal Accidents - 2011,All Accidents - 2011,Persons Killed - 2011,Persons Injured - 2011,Total number of Fatal Accidents - 2012,All Accidents - 2012,Persons Killed - 2012,Persons Injured - 2012,Fatal Accidents - 2013,Total Accidents - 2013,Killed - 2013,Injured - 2013,Severity - 2013,Fatal Accidents - 2014,Greviously Injured Accidents - 2014,Minor Accidents - 2014,Non-Injurey Accidents - 2014,Total Accidents - 2014,Killed - 2014,Injured - 2014,Severity - 2014,Fatal Accidents - 2015,Greviously Injured Accidents - 2015,Minor Accidents - 2015,Non-Injurey Accidents - 2015,Total Accidents - 2015,Killed - 2015,Injured - 2015,Severity - 2015
,336.0,1299.0,632.0,1046.0,381.0,922.0,427.0,675.0,436.0,1008.0,502.0,750.0,49.8,405.0,432.0,127.0,31.0,995.0,503.0,747.0,50.6,498.0,369.0,260.0,16.0,1143.0,474.0,650.0,41.5
,222.0,2020.0,227.0,2036.0,245.0,1850.0,251.0,1845.0,227.0,1888.0,230.0,1855.0,12.2,256.0,263.0,1123.0,0.0,1642.0,262.0,1597.0,16.0,318.0,351.0,1168.0,0.0,1837.0,328.0,1722.0,17.9
,229.0,368.0,230.0,185.0,199.0,380.0,224.0,315.0,200.0,433.0,218.0,404.0,50.3,195.0,167.0,70.0,11.0,443.0,210.0,284.0,47.4,210.0,160.0,60.0,16.0,446.0,210.0,220.0,47.1
,161.0,719.0,173.0,744.0,178.0,715.0,192.0,649.0,150.0,565.0,160.0,547.0,28.3,161.0,254.0,99.0,46.0,560.0,170.0,578.0,30.4,153.0,297.0,147.0,57.0,654.0,170.0,670.0,26.0
,689.0,6031.0,720.0,4952.0,707.0,5508.0,725.0,4527.0,733.0,5215.0,752.0,4334.0,14.4,703.0,1385.0,1934.0,982.0,5004.0,729.0,4098.0,14.6,708.0,1331.0,1899.0,896.0,4834.0,713.0,4057.0,14.7
,275.0,3459.0,299.0,2970.0,278.0,3623.0,301.0,3076.0,242.0,3294.0,257.0,2615.0,7.8,199.0,127.0,2328.0,805.0,3459.0,236.0,2601.0,6.8,222.0,207.0,2351.0,841.0,3621.0,235.0,2779.0,6.5
,253.0,1126.0,259.0,1058.0,263.0,1128.0,270.0,1004.0,245.0,1300.0,248.0,1138.0,19.1,272.0,404.0,790.0,128.0,1594.0,282.0,1465.0,17.7,238.0,483.0,664.0,128.0,1513.0,245.0,1393.0,16.2
,2007.0,7281.0,2065.0,7226.0,1822.0,6937.0,1866.0,6633.0,1778.0,7566.0,1820.0,7098.0,24.1,1629.0,352.0,6433.0,209.0,8623.0,1671.0,8283.0,19.4,1582.0,372.0,5971.0,160.0,8085.0,1622.0,8258.0,20.1
,74.0,138.0,82.0,106.0,49.0,144.0,54.0,191.0,223.0,484.0,248.0,551.0,51.2,60.0,32.0,11.0,3.0,106.0,63.0,77.0,59.4,42.0,48.0,19.0,5.0,114.0,48.0,137.0,42.1
,229.0,803.0,249.0,595.0,227.0,711.0,247.0,537.0,205.0,713.0,215.0,507.0,30.2,253.0,127.0,302.0,37.0,719.0,259.0,466.0,36.0,199.0,92.0,374.0,4.0,669.0,206.0,539.0,30.8
